id;first_name;last_name;kursi;guruh;javob;language
1;Bennie;Schneider;1006;invoice JBOD Inlet;Course;RUSSIA
2;Jarret;Kunde;9796;Configuration District;Home South;ENGLISH
3;Meta;Fadel;5419;connect user-centric;Burgs Berkshire Frozen;ENGLISH
4;Floy;Quigley;57646;payment Cotton Peso;HTTP Berkshire;ENGLISH
5;Darlene;Farrell;38957;Awesome communities;Product Shirt;RUSSIA
6;Melisa;Kemmer;23503;ability;expedite Shirt;ENGLISH
7;Marley;Barton;80488;Liaison firmware;markets repurpose cross-platform;ENGLISH
8;Aurelie;Predovic;65529;Michigan Berkshire;Account Arkansas;RUSSIA
9;Valerie;Rempel;50861;copying;e-business Maine Spurs;RUSSIA
10;Maximo;Nienow;39411;visualize Toys Beauty;override Bahrain Architect;ENGLISH
